idx	fname	t	tier1	tier2	tier3	n_speakers
1	25.11.2022_11.11.csv	197	0	1	0	1
1	25.11.2022_11.11.csv	198	0	1	0	1
1	25.11.2022_11.11.csv	199	0	1	0	1
1	25.11.2022_11.11.csv	200	0	1	0	1
1	25.11.2022_11.11.csv	201	0	0	0	0
1	25.11.2022_11.11.csv	202	0	0	0	0
1	25.11.2022_11.11.csv	203	0	0	0	0
1	25.11.2022_11.11.csv	204	0	0	0	0
1	25.11.2022_11.11.csv	205	0	0	0	0
1	25.11.2022_11.11.csv	206	0	0	0	0
1	25.11.2022_11.11.csv	207	0	0	0	0
1	25.11.2022_11.11.csv	208	0	0	0	0
1	25.11.2022_11.11.csv	209	0	0	0	0
1	25.11.2022_11.11.csv	210	0	0	0	0
1	25.11.2022_11.11.csv	211	0	0	0	0
1	25.11.2022_11.11.csv	212	0	0	0	0
1	25.11.2022_11.11.csv	213	0	0	0	0
1	25.11.2022_11.11.csv	214	0	0	0	0
1	25.11.2022_11.11.csv	215	0	0	0	0
1	25.11.2022_11.11.csv	216	0	0	0	0
1	25.11.2022_11.11.csv	217	0	0	0	0
1	25.11.2022_11.11.csv	218	0	0	0	0
1	25.11.2022_11.11.csv	219	0	0	0	0
1	25.11.2022_11.11.csv	220	0	0	0	0
1	25.11.2022_11.11.csv	221	0	0	0	0
1	25.11.2022_11.11.csv	222	0	0	0	0
1	25.11.2022_11.11.csv	223	0	0	0	0
1	25.11.2022_11.11.csv	224	0	0	0	0
1	25.11.2022_11.11.csv	225	0	0	0	0
1	25.11.2022_11.11.csv	226	0	0	0	0
1	25.11.2022_11.11.csv	227	0	0	0	0
1	25.11.2022_11.11.csv	228	0	0	0	0
1	25.11.2022_11.11.csv	229	0	0	0	0
1	25.11.2022_11.11.csv	230	0	0	0	0
1	25.11.2022_11.11.csv	231	0	0	0	0
1	25.11.2022_11.11.csv	232	0	0	0	0
1	25.11.2022_11.11.csv	233	0	0	0	0
1	25.11.2022_11.11.csv	234	0	0	0	0
1	25.11.2022_11.11.csv	235	0	0	0	0
1	25.11.2022_11.11.csv	236	0	0	0	0
1	25.11.2022_11.11.csv	237	0	0	0	0
1	25.11.2022_11.11.csv	238	0	0	0	0
1	25.11.2022_11.11.csv	239	0	0	0	0
1	25.11.2022_11.11.csv	240	0	0	0	0
1	25.11.2022_11.11.csv	241	0	0	0	0
1	25.11.2022_11.11.csv	242	0	0	0	0
1	25.11.2022_11.11.csv	243	0	0	0	0
1	25.11.2022_11.11.csv	244	0	0	0	0
1	25.11.2022_11.11.csv	245	0	0	0	0
1	25.11.2022_11.11.csv	246	0	0	0	0
1	25.11.2022_11.11.csv	247	0	0	0	0
1	25.11.2022_11.11.csv	248	0	0	0	0
1	25.11.2022_11.11.csv	249	0	0	0	0
1	25.11.2022_11.11.csv	250	0	0	0	0
1	25.11.2022_11.11.csv	251	0	0	0	0
1	25.11.2022_11.11.csv	252	0	0	0	0
1	25.11.2022_11.11.csv	253	0	0	0	0
1	25.11.2022_11.11.csv	254	0	0	0	0
1	25.11.2022_11.11.csv	255	0	0	0	0
1	25.11.2022_11.11.csv	256	0	0	0	0
1	25.11.2022_11.11.csv	257	0	0	0	0
1	25.11.2022_11.11.csv	258	0	0	0	0
1	25.11.2022_11.11.csv	259	0	0	0	0
1	25.11.2022_11.11.csv	260	0	0	0	0
1	25.11.2022_11.11.csv	261	0	0	0	0
1	25.11.2022_11.11.csv	262	0	0	0	0
1	25.11.2022_11.11.csv	263	0	0	0	0
1	25.11.2022_11.11.csv	264	0	0	0	0
1	25.11.2022_11.11.csv	265	0	0	0	0
1	25.11.2022_11.11.csv	266	0	0	0	0
1	25.11.2022_11.11.csv	267	0	0	0	0
1	25.11.2022_11.11.csv	268	0	0	0	0
1	25.11.2022_11.11.csv	269	0	0	0	0
1	25.11.2022_11.11.csv	270	0	0	0	0
1	25.11.2022_11.11.csv	271	0	0	0	0
1	25.11.2022_11.11.csv	272	0	0	0	0
1	25.11.2022_11.11.csv	273	0	0	0	0
1	25.11.2022_11.11.csv	274	0	0	0	0
1	25.11.2022_11.11.csv	275	0	0	0	0
1	25.11.2022_11.11.csv	276	0	0	0	0
1	25.11.2022_11.11.csv	277	0	0	0	0
1	25.11.2022_11.11.csv	278	0	0	0	0
1	25.11.2022_11.11.csv	279	0	0	0	0
1	25.11.2022_11.11.csv	280	0	0	0	0
1	25.11.2022_11.11.csv	281	0	0	0	0
1	25.11.2022_11.11.csv	282	0	0	0	0
1	25.11.2022_11.11.csv	283	0	0	0	0
1	25.11.2022_11.11.csv	284	0	0	0	0
1	25.11.2022_11.11.csv	285	0	0	0	0
1	25.11.2022_11.11.csv	286	0	0	0	0
1	25.11.2022_11.11.csv	287	0	0	0	0
1	25.11.2022_11.11.csv	288	0	0	0	0
1	25.11.2022_11.11.csv	289	0	0	0	0
1	25.11.2022_11.11.csv	290	0	0	0	0
1	25.11.2022_11.11.csv	291	0	0	0	0
1	25.11.2022_11.11.csv	292	0	0	0	0
1	25.11.2022_11.11.csv	293	0	0	0	0
1	25.11.2022_11.11.csv	294	0	0	0	0
1	25.11.2022_11.11.csv	295	0	0	0	0
1	25.11.2022_11.11.csv	296	0	0	0	0
1	25.11.2022_11.11.csv	297	0	0	0	0
1	25.11.2022_11.11.csv	298	0	0	0	0
1	25.11.2022_11.11.csv	299	0	0	0	0
1	25.11.2022_11.11.csv	300	0	0	0	0
1	25.11.2022_11.11.csv	301	0	0	0	0
1	25.11.2022_11.11.csv	302	0	0	0	0
1	25.11.2022_11.11.csv	303	0	0	0	0
1	25.11.2022_11.11.csv	304	0	0	0	0
1	25.11.2022_11.11.csv	305	0	0	0	0
1	25.11.2022_11.11.csv	306	0	0	0	0
1	25.11.2022_11.11.csv	307	0	0	0	0
1	25.11.2022_11.11.csv	308	0	0	0	0
1	25.11.2022_11.11.csv	309	0	0	0	0
1	25.11.2022_11.11.csv	310	0	0	0	0
1	25.11.2022_11.11.csv	311	0	0	0	0
1	25.11.2022_11.11.csv	312	0	0	0	0
1	25.11.2022_11.11.csv	313	0	0	0	0
1	25.11.2022_11.11.csv	314	0	0	0	0
1	25.11.2022_11.11.csv	315	0	0	0	0
1	25.11.2022_11.11.csv	316	0	0	0	0
1	25.11.2022_11.11.csv	317	0	0	0	0
1	25.11.2022_11.11.csv	318	0	0	0	0
1	25.11.2022_11.11.csv	319	0	0	0	0
1	25.11.2022_11.11.csv	320	0	0	0	0
1	25.11.2022_11.11.csv	321	0	0	0	0
1	25.11.2022_11.11.csv	322	0	0	0	0
1	25.11.2022_11.11.csv	323	0	0	0	0
1	25.11.2022_11.11.csv	324	0	0	0	0
1	25.11.2022_11.11.csv	325	0	0	0	0
1	25.11.2022_11.11.csv	326	0	0	0	0
1	25.11.2022_11.11.csv	327	0	0	0	0
1	25.11.2022_11.11.csv	328	0	0	0	0
1	25.11.2022_11.11.csv	329	0	0	0	0
1	25.11.2022_11.11.csv	330	0	0	0	0
1	25.11.2022_11.11.csv	331	0	0	0	0
1	25.11.2022_11.11.csv	332	0	0	0	0
1	25.11.2022_11.11.csv	333	0	0	0	0
1	25.11.2022_11.11.csv	334	0	0	0	0
1	25.11.2022_11.11.csv	335	0	0	0	0
1	25.11.2022_11.11.csv	336	0	0	0	0
1	25.11.2022_11.11.csv	337	0	0	0	0
1	25.11.2022_11.11.csv	338	0	0	0	0
1	25.11.2022_11.11.csv	339	0	0	0	0
1	25.11.2022_11.11.csv	340	0	0	0	0
1	25.11.2022_11.11.csv	341	0	0	0	0
1	25.11.2022_11.11.csv	342	0	0	0	0
1	25.11.2022_11.11.csv	343	0	0	0	0
1	25.11.2022_11.11.csv	344	0	0	0	0
1	25.11.2022_11.11.csv	345	0	0	0	0
1	25.11.2022_11.11.csv	346	0	0	0	0
