idx	fname	ts	tier	start	end	duration	note	offset_start	offset_end	fto	overlap_w	overlap_b	overlap	overlap_time	gap_time	talk_time	event
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:29:22	2022-11-25 11:30:36	74.0	osoba1	84.0	74.0	0.0	False	False	False		0.0	74.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:30:36	2022-11-25 11:31:21	45.0	osoba3	74.0	45.0	0.0	False	False	False		0.0	45.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:31:21	2022-11-25 11:31:28	7.0	osoba1	45.0	7.0	0.0	False	False	False		0.0	7.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:31:28	2022-11-25 11:31:33	5.0	osoba2	7.0	5.0	0.0	False	False	False		0.0	5.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:32:06	2022-11-25 11:33:05	59.0	osoba1	38.0	92.0	33.0	False	False	False		33.0	59.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:33:05	2022-11-25 11:33:36	31.0	osoba2	59.0	31.0	0.0	False	False	False		0.0	31.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:33:36	2022-11-25 11:33:59	23.0	osoba3	31.0	23.0	0.0	False	False	False		0.0	23.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:04	2022-11-25 11:34:07	3.0	osoba2	28.0	8.0	5.0	False	False	False		5.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:07	2022-11-25 11:34:09	2.0	osoba3	3.0	2.0	0.0	False	False	False		0.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:19	2022-11-25 11:34:21	2.0	osoba2	12.0	12.0	10.0	False	False	False		10.0	2.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:34:21	2022-11-25 11:34:26	5.0	osoba1	2.0	5.0	0.0	False	False	False		0.0	5.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:26	2022-11-25 11:34:29	3.0	osoba3	5.0	3.0	0.0	False	False	False		0.0	3.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba1	2022-11-25 11:34:29	2022-11-25 11:34:35	6.0	osoba1	3.0	6.0	0.0	False	False	False		0.0	6.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba3	2022-11-25 11:34:35	2022-11-25 11:34:36	1.0	osoba3	6.0	1.0	0.0	False	False	False		0.0	1.0	statement
1	25.11.2022_11.11.csv	2022-11-25 11:11:00	osoba2	2022-11-25 11:34:36	2022-11-25 11:34:38	2.0	osoba2	1.0	2.0	0.0	False	False	False		0.0	2.0	statement
